ds,Proyecto,Cliente,Servicio,Ingresos,HorasFacturadas,CosteEquipo,MargenBruto,margen_pct,Seniority,Satisfaccion,year,month,quarter
2025-08-01,KloudAnalytics Migration,Iberdrola,Cloud,24030,177,15217,8813,36.67498959633791,Junior,82,2025,8,3
2025-08-01,IA Documental,Ministerio Justicia,IA,26563,190,16463,10100,38.02281368821293,Senior,81,2025,8,3
2025-08-01,Data Lake Retail,El Corte Inglés,Big Data,30092,222,18741,11351,37.72098896716735,Senior,73,2025,8,3
2025-08-01,Cloud Migration AWS,Mapfre,Cloud,21412,154,12704,8708,40.66878385951803,Junior,85,2025,8,3
2025-08-01,Apache NiFi Pipeline,Telefónica,Big Data,21204,151,13177,8027,37.85606489341634,SemiSenior,88,2025,8,3
2025-08-01,Fraud Detection,BBVA,IA,40143,293,24757,15386,38.32797748050719,Senior,70,2025,8,3
2025-09-01,Apache NiFi Pipeline,Telefónica,Big Data,32323,231,21464,10859,33.59527271602264,SemiSenior,90,2025,9,3
2025-09-01,Cloud Migration AWS,Mapfre,Cloud,32326,232,20274,12052,37.28268267029636,Junior,70,2025,9,3
2025-09-01,Data Lake Retail,El Corte Inglés,Big Data,46997,347,29888,17109,36.40445134795838,Senior,93,2025,9,3
2025-09-01,Fraud Detection,BBVA,IA,59671,436,35702,23969,40.16859110790836,Junior,73,2025,9,3
2025-09-01,KloudAnalytics Migration,Iberdrola,Cloud,40274,297,24778,15496,38.476436410587475,Senior,70,2025,9,3
2025-09-01,IA Documental,Ministerio Justicia,IA,40244,287,23972,16272,40.4333565251963,Junior,76,2025,9,3
2025-09-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,51893,369,32334,19559,37.69101805638525,SemiSenior,72,2025,9,3
2025-09-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,63849,464,42602,21247,33.276950304624975,Senior,81,2025,9,3
2025-10-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,52069,370,31359,20710,39.77414584493653,SemiSenior,72,2025,10,4
2025-10-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,61937,450,37826,24111,38.92826581849299,Senior,94,2025,10,4
2025-10-01,KloudAnalytics Migration,Iberdrola,Cloud,37732,278,24249,13483,35.733594826672324,Junior,86,2025,10,4
2025-10-01,IA Documental,Ministerio Justicia,IA,33406,239,20810,12596,37.70580135305035,Junior,76,2025,10,4
2025-10-01,Fraud Detection,BBVA,IA,53346,390,33680,19666,36.8649945637911,Junior,93,2025,10,4
2025-10-01,Data Lake Retail,El Corte Inglés,Big Data,40307,298,24451,15856,39.338080234202494,Senior,81,2025,10,4
2025-10-01,Apache NiFi Pipeline,Telefónica,Big Data,30892,221,19690,11202,36.261815356726665,Senior,74,2025,10,4
2025-10-01,Cloud Migration AWS,Mapfre,Cloud,33025,237,20421,12604,38.16502649507949,Senior,70,2025,10,4
2025-11-01,Apache NiFi Pipeline,Telefónica,Big Data,31411,224,20672,10739,34.188660023558626,SemiSenior,76,2025,11,4
2025-11-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,50302,358,30207,20095,39.948709792851176,Senior,84,2025,11,4
2025-11-01,Cloud Migration AWS,Mapfre,Cloud,31541,227,18560,12981,41.155955740147746,SemiSenior,89,2025,11,4
2025-11-01,IA Documental,Ministerio Justicia,IA,39620,283,23885,15735,39.71479050984351,Junior,93,2025,11,4
2025-11-01,Fraud Detection,BBVA,IA,61164,447,39001,22163,36.23536720946962,Junior,78,2025,11,4
2025-11-01,KloudAnalytics Migration,Iberdrola,Cloud,46497,343,30564,15933,34.26672688560552,Senior,76,2025,11,4
2025-11-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,66428,483,40346,26082,39.26356355753598,Senior,89,2025,11,4
2025-11-01,Data Lake Retail,El Corte Inglés,Big Data,42708,315,26723,15985,37.428584808466795,Senior,92,2025,11,4
2025-12-01,KloudAnalytics Migration,Iberdrola,Cloud,28118,207,16880,11238,39.967280745429974,SemiSenior,81,2025,12,4
2025-12-01,IA Documental,Ministerio Justicia,IA,26873,192,16445,10428,38.80474826033565,SemiSenior,74,2025,12,4
2025-12-01,Cloud Migration AWS,Mapfre,Cloud,26360,189,17442,8918,33.83156297420334,Junior,92,2025,12,4
2025-12-01,Apache NiFi Pipeline,Telefónica,Big Data,22296,159,14991,7305,32.76372443487621,Senior,73,2025,12,4
2025-12-01,Fraud Detection,BBVA,IA,42796,313,26128,16668,38.94756519300869,Senior,94,2025,12,4
2025-12-01,Data Lake Retail,El Corte Inglés,Big Data,32423,239,20806,11617,35.82950374733985,Junior,78,2025,12,4
2025-12-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,36399,259,23727,12672,34.814143245693565,Senior,91,2025,12,4
2025-12-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,47244,344,30745,16499,34.92295317923969,SemiSenior,93,2025,12,4
2026-01-01,Apache NiFi Pipeline,Telefónica,Big Data,24350,174,15091,9259,38.02464065708419,SemiSenior,94,2026,1,1
2026-01-01,Cloud Migration AWS,Mapfre,Cloud,28208,203,17577,10631,37.68788996029495,Senior,75,2026,1,1
2026-01-01,Data Lake Retail,El Corte Inglés,Big Data,32896,243,20582,12314,37.43312256809339,Junior,70,2026,1,1
2026-01-01,Fraud Detection,BBVA,IA,43052,315,27242,15810,36.72303261172535,Senior,79,2026,1,1
2026-01-01,IA Documental,Ministerio Justicia,IA,32806,234,19840,12966,39.523257940620624,Junior,88,2026,1,1
2026-01-01,KloudAnalytics Migration,Iberdrola,Cloud,32726,241,21652,11074,33.8385381653731,Junior,86,2026,1,1
2026-01-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,42546,309,26328,16218,38.11874206740939,Senior,92,2026,1,1
2026-01-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,35571,253,21736,13835,38.89404290011526,Junior,75,2026,1,1
2026-02-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,52954,385,33902,19052,35.97839634399668,Senior,71,2026,2,1
2026-02-01,Data Lake Retail,El Corte Inglés,Big Data,37386,276,24551,12835,34.331033007007974,Junior,75,2026,2,1
2026-02-01,KloudAnalytics Migration,Iberdrola,Cloud,31760,234,20697,11063,34.8331234256927,SemiSenior,88,2026,2,1
2026-02-01,IA Documental,Ministerio Justicia,IA,34496,246,20415,14081,40.819225417439704,Senior,81,2026,2,1
2026-02-01,Fraud Detection,BBVA,IA,42000,307,25091,16909,40.25952380952381,SemiSenior,89,2026,2,1
2026-02-01,Cloud Migration AWS,Mapfre,Cloud,31732,228,19005,12727,40.10777763771587,Senior,72,2026,2,1
2026-02-01,Apache NiFi Pipeline,Telefónica,Big Data,23493,168,14798,8695,37.01102456050738,SemiSenior,94,2026,2,1
2026-02-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,39100,278,24313,14787,37.81841432225064,Senior,70,2026,2,1
2026-03-01,Cloud Migration AWS,Mapfre,Cloud,33520,241,20351,13169,39.286992840095465,Senior,71,2026,3,1
2026-03-01,Apache NiFi Pipeline,Telefónica,Big Data,23494,168,15123,8371,35.63037371243722,Junior,81,2026,3,1
2026-03-01,Fraud Detection,BBVA,IA,46728,341,30837,15891,34.00744735490498,Senior,78,2026,3,1
2026-03-01,IA Documental,Ministerio Justicia,IA,32620,233,19625,12995,39.83752299202943,Senior,86,2026,3,1
2026-03-01,KloudAnalytics Migration,Iberdrola,Cloud,40410,298,26608,13802,34.154912150457804,SemiSenior,86,2026,3,1
2026-03-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,46408,338,31243,15165,32.677555593863126,Senior,79,2026,3,1
2026-03-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,44028,313,27498,16530,37.54428999727446,Senior,87,2026,3,1
2026-03-01,Data Lake Retail,El Corte Inglés,Big Data,43486,321,27651,15835,36.41401830474176,Junior,93,2026,3,1
2026-04-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,53865,392,32636,21229,39.411491692193444,Senior,93,2026,4,2
2026-04-01,KloudAnalytics Migration,Iberdrola,Cloud,40570,299,26617,13953,34.39240818338674,SemiSenior,75,2026,4,2
2026-04-01,IA Documental,Ministerio Justicia,IA,34362,245,22133,12229,35.5887317385484,SemiSenior,90,2026,4,2
2026-04-01,Fraud Detection,BBVA,IA,47309,346,30239,17070,36.081929442600774,Junior,90,2026,4,2
2026-04-01,Data Lake Retail,El Corte Inglés,Big Data,41936,310,28104,13832,32.98359404807326,Junior,91,2026,4,2
2026-04-01,Cloud Migration AWS,Mapfre,Cloud,29674,213,19152,10522,35.45865067062074,SemiSenior,89,2026,4,2
2026-04-01,Apache NiFi Pipeline,Telefónica,Big Data,27370,196,18484,8886,32.46620387285349,SemiSenior,83,2026,4,2
2026-04-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,45683,325,28498,17185,37.617932272398924,Senior,93,2026,4,2
